resto_id,name,location,address,category_region,category_type,category_cuisine,category_price,category_wifi,rating,vote,desc,url,date_taken,status
46,Ayam Geprek Bebas,Dago,"Jl. Teuku Angkasa No. 29, Dago, Bandung",lokal,resto,jawa,25000,no,4.1,122,lokal resto jajanan jawa ayam geprek,https://www.zomato.com/bandung/ayam-geprek-bebas-dago,5/14/2020,FIX
47,Bebek Om Aris,Dago,"Jl. Dipatiukur, Dago, Bandung",lokal,jajanan,jawa,25000,no,4.1,80,lokal resto jajanan jawa ayam bebek,https://www.zomato.com/bandung/bebek-om-aris-dago,5/14/2020,FIX
48,Martabak Mertua,Dago,"Jl. Dipatiukur No. 84A, Dago, Bandung",lokal,jajanan,,50000,yes,4,49,lokal jajanan martabak cemilan wifi,https://www.zomato.com/bandung/martabak-mertua-dago,5/14/2020,FIX
49,Se'i Sapi Lamalera,Dago,"Jl. Bagus Rangin No. 24A, Dago, Bandung",lokal,resto,NTT,75000,yes,4.7,1062,lokal resto ntt wifi,https://www.zomato.com/bandung/sei-sapi-lamalera-dago,5/14/2020,FIX
50,Warung Taru,Dago,"Jl. Ir. H. Juanda No. 437, Dago, Bandung",lokal,resto,campur,90000,no,4,108,lokal resto sunda jawa nyaman,https://www.zomato.com/bandung/warung-taru-dago,5/14/2020,FIX
51,Bubur Ayam Pak Zaenal,Dago,"Jl. Ir. H. Djuanda No. 244, Dago, Bandung",lokal,resto,,40000,no,3.5,16,lokal resto jajanan bubur,https://www.zomato.com/bandung/bubur-ayam-pak-zaenal-dago,5/14/2020,FIX
52,Bakmi Jowo DU 67,Dago,"Jl. Dipatiukur No. 67, Dago, Bandung",lokal,resto,jawa,35000,no,3.8,42,lokal resto jawa bakmi,https://www.zomato.com/bandung/bakmi-jowo-du-67-dago,5/14/2020,FIX
53,Ngopi Doeloe,Dago,"Jl. Teuku Umar No. 5, Dago, Bandung",internasional,cafe,,110000,yes,3.6,44,internasional lokal cafe western asia kopi steak wifi nyaman,https://www.zomato.com/bandung/ngopi-doeloe-dago,5/14/2020,FIX
54,One Eighty Coffee,Dago,"Jl. Ganesa No. 3, Dago, Bandung",internasional,,,100000,yes,4.6,1094,internasional cafe western kopi teh cemilan wifi nyaman,https://www.zomato.com/bandung/one-eighty-coffee-dago,5/14/2020,FIX
55,Bebek Ali Borme,Dago,"Jl. Teuku Umar No. 60, Dago, Bandung",lokal,,jawa,50000,no,4.2,104,lokal resto jajanan jawa ayam bebek,https://www.zomato.com/bandung/bebek-ali-borme-dago,5/14/2020,FIX
56,Warung Pasta,Dago,"Jl. Ganesa No. 4, Dago, Bandung",internasional,,western,50000,yes,3.9,138,internasional resto western italia pasta wifi nyaman,https://www.zomato.com/bandung/warung-pasta-dago,5/14/2020,FIX
57,Yagami Ramen House,Dago,"Jl. Ir. H. Djuanda No. 185, Dago, Bandung",internasional,resto,jepang,60000,yes,3.7,35,internasional resto asia jepang ramen buffet wifi,https://www.zomato.com/bandung/yagami-ramen-house-dago,5/14/2020,FIX
58,KartikaSari Dago,Dago,"Jl. Ir. H. Djuanda No. 85, Dago, Bandung",campur,bakery,,50000,no,4,90,internasional lokal bakery cemilan,https://www.zomato.com/bandung/kartikasari-dago,5/14/2020,FIX
59,Eat Boss Dago,Dago,"Jl. Ir. H. Djuanda No. 72, Dago, Bandung",campur,,,75000,no,3.8,108,internasional lokal resto western asia nyaman,https://www.zomato.com/bandung/eat-boss-dago,5/14/2020,FIX
60,Dago Panyawangan,Dago,"Jl. Ir. H. Juanda No. 127, Dago, Bandung",lokal,resto,campur,50000,no,3.8,39,lokal resto sunda ayam bebek seafood,https://www.zomato.com/bandung/dago-panyawangan-dago,5/14/2020,FIX
61,Tizis,Dago,"Jl. Kidang Pananjung No. 3, Dago, Bandung",internasional,,,100000,no,4.2,227,internasional resto western belanda steak nyaman,https://www.zomato.com/bandung/tizis-dago,5/14/2020,FIX
62,Cafe Halaman,Dago,"Jl. Taman Sari No. 92, Dago, Bandung",campur,cafe,,80000,yes,3.8,114,lokal cafe bakmi kopi teh wifi nyaman,https://www.zomato.com/bandung/cafe-halaman-dago,5/14/2020,FIX
